ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET
5000047,M,Y,N,0,128100.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-22397,-1516,1,0,0,0,Security staff,2,0
5000048,F,N,Y,2,123100.0,Pensioner,Higher education,Married,House / apartment,-22258,365243,1,0,1,0,Secretaries,4,0
5000049,M,N,N,1,298600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24607,365243,1,0,1,0,Private service staff,3,1
5000050,M,N,Y,0,363100.0,State servant,Secondary / secondary special,Married,House / apartment,-24470,-2113,1,1,0,1,Private service staff,2,1
5000051,M,N,N,0,222800.0,Working,Incomplete higher,Married,House / apartment,-17372,-3114,1,0,0,0,High skill tech staff,1,1
5000052,F,N,N,0,167600.0,Working,Secondary / secondary special,Married,House / apartment,-25162,-3089,1,0,0,0,Managers,1,1
5000053,F,N,N,2,182600.0,Working,Secondary / secondary special,Married,House / apartment,-21965,-394,1,0,0,0,Core staff,4,0
5000054,F,N,N,2,142800.0,Working,Higher education,Separated,House / apartment,-8305,-3768,1,0,0,0,Waiters/barmen staff,3,1
5000055,F,N,Y,0,191500.0,Working,Higher education,Married,House / apartment,-9067,-4051,1,0,1,0,Managers,1,1
5000056,F,N,N,1,270300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13675,365243,1,0,0,0,Secretaries,2,1
5000057,F,N,N,0,94700.0,State servant,Secondary / secondary special,Married,House / apartment,-8071,0,1,0,1,0,IT staff,1,0
5000058,M,N,Y,1,164700.0,Working,Secondary / secondary special,Married,House / apartment,-12362,-72,1,0,0,0,IT staff,3,0
5000059,M,Y,Y,0,227300.0,State servant,Higher education,Separated,House / apartment,-11801,-2865,1,1,1,0,Drivers,1,0
5000060,F,Y,Y,0,191400.0,Working,Higher education,Married,Municipal apartment,-9520,-1408,1,0,1,0,Sales staff,2,1
5000061,F,N,N,0,282700.0,Working,Secondary / secondary special,Separated,House / apartment,-8915,-2943,1,1,0,0,High skill tech staff,1,1
5000062,F,N,N,1,243600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14407,-5427,1,0,0,0,Accountants,3,1
5000063,F,Y,Y,0,204500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20856,-325,1,0,0,0,IT staff,1,1
5000064,F,N,N,0,165800.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23487,365243,1,0,1,0,Realty agents,1,0
5000065,F,N,Y,3,201600.0,State servant,Secondary / secondary special,Separated,Municipal apartment,-19954,-4620,1,0,0,0,High skill tech staff,5,0
5000066,F,N,Y,0,288900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12921,-1252,1,0,1,0,IT staff,2,1
5000067,M,N,N,0,207400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11729,365243,1,1,0,1,Cleaning staff,2,0
5000068,M,Y,Y,0,259400.0,Working,Secondary / secondary special,Married,House / apartment,-16180,-2257,1,1,1,1,Laborers,2,1
5000069,F,N,Y,1,388200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9384,-5083,1,0,0,0,Cooking staff,2,1
5000070,M,Y,Y,0,171200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17879,-3637,1,0,0,0,High skill tech staff,1,1
5000071,M,N,Y,2,171400.0,State servant,Secondary / secondary special,Married,House / apartment,-23479,-157,1,0,1,0,Laborers,4,0
5000072,F,Y,Y,0,201900.0,Commercial associate,Higher education,Single / not married,With parents,-12625,-739,1,0,0,0,Waiters/barmen staff,2,0
5000073,M,N,Y,3,294600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14633,0,1,0,1,0,Realty agents,5,0
5000074,M,N,Y,0,235700.0,State servant,Higher education,Married,House / apartment,-16438,-3021,1,1,0,0,Private service staff,1,0
5000075,M,N,N,2,279700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8374,365243,1,0,1,0,Low-skill Laborers,3,1
5000076,M,N,Y,0,278500.0,Commercial associate,Higher education,Single / not married,House / apartment,-23623,-2420,1,0,0,0,HR staff,1,1
5000077,F,N,N,0,193500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-7990,365243,1,1,0,0,Managers,1,0
5000078,F,N,N,2,182800.0,Working,Higher education,Married,House / apartment,-20389,-2482,1,0,0,0,Realty agents,4,1
5000079,F,Y,Y,0,224700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20472,0,1,0,0,0,Realty agents,2,1
5000080,F,Y,Y,1,379500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-22133,365243,1,0,0,1,Drivers,2,1
5000081,M,N,Y,1,235300.0,Working,Higher education,Married,House / apartment,-14800,-3190,1,0,0,0,Drivers,2,1
5000082,F,Y,N,0,438600.0,Pensioner,Higher education,Married,House / apartment,-12127,365243,1,0,0,0,Accountants,2,1
5000083,M,N,N,0,502800.0,Commercial associate,Higher education,Married,House / apartment,-15702,-2744,1,0,0,0,Cooking staff,1,1
5000084,M,Y,Y,3,174200.0,Working,Secondary / secondary special,Married,House / apartment,-11605,0,1,0,1,0,Low-skill Laborers,4,1
5000085,M,N,Y,1,147000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12352,0,1,0,1,0,Core staff,3,0
5000086,F,Y,Y,2,189200.0,Working,Secondary / secondary special,Married,House / apartment,-22859,-1113,1,0,0,0,Accountants,4,1
5000087,F,N,N,1,229500.0,Working,Higher education,Married,House / apartment,-8031,-4046,1,0,1,0,Waiters/barmen staff,2,0
5000088,M,Y,Y,2,215200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15231,-1503,1,1,0,0,Secretaries,4,0
5000089,F,N,Y,1,219200.0,Working,Secondary / secondary special,Married,House / apartment,-9489,-1809,1,0,1,1,Core staff,2,0
5000090,M,Y,Y,0,233100.0,Commercial associate,Higher education,Civil marriage,House / apartment,-15720,-2807,1,0,0,0,Cleaning staff,2,0
5000091,F,N,N,2,185000.0,Working,Secondary / secondary special,Married,House / apartment,-8422,-2015,1,0,0,0,Private service staff,3,1
5000092,F,Y,Y,2,329300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19515,-2111,1,0,0,0,Medicine staff,4,0
5000093,M,N,Y,1,304200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12839,365243,1,0,0,0,Security staff,3,1
5000094,M,N,Y,2,161200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13821,-887,1,0,0,0,Accountants,3,1
5000095,F,N,N,0,185000.0,Working,Secondary / secondary special,Separated,House / apartment,-16773,-2434,1,1,0,0,Drivers,2,1
5000096,M,N,Y,0,154800.0,Working,Secondary / secondary special,Married,House / apartment,-8627,-4964,1,1,0,0,Laborers,1,1
5000097,M,N,Y,0,189100.0,Working,Secondary / secondary special,Married,House / apartment,-16308,-583,1,1,0,0,HR staff,1,0
5000098,M,N,Y,1,274700.0,Working,Secondary / secondary special,Separated,House / apartment,-18827,-1579,1,0,0,0,Sales staff,3,1
5000099,F,Y,N,0,228700.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-11430,-2673,1,1,0,0,HR staff,1,0
5000100,F,N,Y,0,372100.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20032,365243,1,0,1,0,Sales staff,1,0
5000101,F,Y,N,1,257300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24795,-3751,1,0,1,0,Security staff,3,1
5000102,M,N,N,0,157800.0,Working,Higher education,Married,House / apartment,-18613,0,1,1,0,0,Waiters/barmen staff,2,0
5000103,F,Y,N,0,185000.0,Working,Secondary / secondary special,Separated,Municipal apartment,-12505,-1363,1,0,0,0,Drivers,1,0
5000104,F,N,N,0,262800.0,Working,Academic degree,Married,House / apartment,-17169,-1171,1,0,1,0,Cooking staff,2,1
5000105,F,N,Y,0,238800.0,Pensioner,Incomplete higher,Single / not married,Municipal apartment,-20084,365243,1,0,0,0,Private service staff,2,1
5000106,F,N,Y,0,256600.0,Commercial associate,Higher education,Civil marriage,House / apartment,-17320,-2070,1,0,0,0,Laborers,1,1
5000107,M,Y,N,0,135600.0,Working,Secondary / secondary special,Married,House / apartment,-15145,-4932,1,0,0,0,Accountants,1,1
5000108,M,N,N,0,201600.0,Working,Secondary / secondary special,Married,House / apartment,-14935,-2427,1,0,0,0,Cooking staff,1,0
5000109,F,N,N,0,83100.0,Working,Secondary / secondary special,Married,House / apartment,-18437,-2566,1,0,0,0,Managers,1,0
5000110,F,Y,Y,3,166800.0,Working,Higher education,Single / not married,House / apartment,-21059,-163,1,0,0,0,Sales staff,5,0
5000111,M,Y,N,0,254500.0,Working,Secondary / secondary special,Married,House / apartment,-7977,-3930,1,0,1,0,Waiters/barmen staff,1,0
5000112,M,N,Y,0,159300.0,Working,Secondary / secondary special,Widow,House / apartment,-14799,-2821,1,0,0,0,Drivers,2,0
5000113,F,N,Y,2,181700.0,Working,Higher education,Separated,House / apartment,-9131,-2754,1,1,1,0,Managers,3,0
5000114,M,Y,Y,0,152200.0,Working,Secondary / secondary special,Married,House / apartment,-13038,-3776,1,1,0,0,Sales staff,2,0
5000115,F,N,Y,0,226400.0,Working,Higher education,Married,House / apartment,-16665,-1068,1,1,0,0,Cleaning staff,2,0
5000116,F,Y,Y,1,173500.0,Working,Higher education,Married,House / apartment,-16326,0,1,0,0,0,Cooking staff,2,0
5000117,F,N,Y,0,176800.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-9735,-2613,1,0,1,0,Medicine staff,2,1
5000118,F,N,Y,3,247100.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-9604,-1767,1,0,0,0,Private service staff,5,1
5000119,F,N,N,0,235200.0,Commercial associate,Higher education,Married,House / apartment,-18727,-1450,1,0,0,1,Security staff,2,0
5000120,F,Y,N,1,223500.0,Working,Higher education,Married,House / apartment,-19960,-5007,1,0,1,0,Laborers,3,0
5000121,F,N,N,3,239100.0,Working,Higher education,Married,House / apartment,-13271,-4189,1,1,1,0,Laborers,4,1
5000122,M,Y,N,2,341100.0,Working,Secondary / secondary special,Married,House / apartment,-8712,-2612,1,1,1,0,Drivers,4,1
5000123,M,N,N,0,245100.0,Working,Secondary / secondary special,Married,House / apartment,-21589,-348,1,1,0,0,Waiters/barmen staff,1,0
5000124,M,N,N,1,73600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22370,-9086,1,0,0,0,Realty agents,2,0
5000125,F,N,Y,0,180500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11169,365243,1,0,1,0,Core staff,2,1
5000126,M,N,Y,0,256500.0,Working,Higher education,Married,With parents,-15002,-2118,1,1,0,1,IT staff,1,1
5000127,M,Y,N,2,130900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20809,-1047,1,1,1,0,Realty agents,3,1
5000128,M,Y,Y,0,160100.0,Working,Higher education,Married,House / apartment,-22667,-1757,1,1,0,0,High skill tech staff,1,1
5000129,F,N,N,0,131700.0,Working,Secondary / secondary special,Separated,With parents,-15784,-498,1,0,0,0,Security staff,2,1
5000130,M,N,Y,1,307100.0,Commercial associate,Lower secondary,Married,House / apartment,-16569,0,1,0,1,1,Sales staff,3,0
5000131,F,Y,Y,0,226600.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15124,-1802,1,1,1,0,Sales staff,2,1
5000132,F,N,Y,1,238600.0,State servant,Secondary / secondary special,Married,With parents,-8735,-4002,1,0,1,0,Sales staff,3,1
5000133,M,N,N,0,123600.0,Working,Higher education,Widow,House / apartment,-10018,-2043,1,1,0,0,Laborers,1,1
5000134,F,N,Y,1,364100.0,Working,Secondary / secondary special,Widow,House / apartment,-14290,0,1,0,1,0,Secretaries,3,1
5000135,M,N,Y,0,331500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15336,-5115,1,0,1,0,Low-skill Laborers,2,1
5000136,F,Y,Y,2,193900.0,Working,Secondary / secondary special,Married,House / apartment,-24831,0,1,0,1,0,Laborers,3,1
5000137,F,Y,Y,0,243200.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19341,-509,1,0,0,0,Core staff,2,1
5000138,F,N,Y,1,193500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23389,365243,1,1,1,0,Drivers,2,1
5000139,M,N,N,1,371700.0,Working,Secondary / secondary special,Married,House / apartment,-10104,-3294,1,0,0,0,Realty agents,2,1
5000140,F,N,Y,0,208300.0,Working,Secondary / secondary special,Married,Municipal apartment,-24676,-4603,1,0,1,0,Secretaries,1,0
5000141,F,N,N,1,220100.0,Working,Higher education,Civil marriage,House / apartment,-9044,-3608,1,1,0,0,IT staff,2,0
5000142,F,Y,Y,2,330300.0,State servant,Higher education,Married,House / apartment,-24506,-3831,1,1,0,0,Private service staff,3,1
5000143,F,N,N,0,141700.0,Pensioner,Higher education,Married,House / apartment,-10998,365243,1,1,0,0,IT staff,1,0
5000144,F,Y,N,1,135200.0,Pensioner,Incomplete higher,Married,House / apartment,-9032,365243,1,0,0,0,Sales staff,2,0
5000145,M,Y,N,0,125400.0,Working,Secondary / secondary special,Married,House / apartment,-20555,-2707,1,0,0,0,Laborers,1,0
5000146,M,N,N,1,328200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-24961,-1455,1,0,0,0,Core staff,3,0
5000147,F,N,Y,2,142400.0,Working,Higher education,Civil marriage,House / apartment,-10872,-2510,1,0,1,0,Managers,4,1
5000148,F,Y,Y,1,220800.0,State servant,Secondary / secondary special,Married,House / apartment,-21798,-4503,1,0,0,0,IT staff,2,0
5000149,M,N,Y,0,328300.0,State servant,Incomplete higher,Married,House / apartment,-21634,-3598,1,0,0,0,Core staff,2,1
5000150,F,Y,Y,0,148900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11167,-4633,1,0,1,0,Medicine staff,2,1
5000151,F,N,Y,0,319500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-21856,-1889,1,0,0,0,IT staff,2,1
5000152,M,N,Y,0,177200.0,Working,Secondary / secondary special,Married,House / apartment,-19316,-1903,1,0,0,0,Managers,1,1
5000153,F,Y,N,1,174000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11115,-3903,1,1,0,0,Cooking staff,3,0
5000154,M,N,Y,1,195300.0,Pensioner,Higher education,Married,House / apartment,-23123,365243,1,1,1,0,Private service staff,2,0
5000155,F,N,Y,1,193400.0,Working,Higher education,Married,House / apartment,-13544,-4345,1,0,0,0,Waiters/barmen staff,3,1
5000156,M,Y,Y,0,143200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13992,-1673,1,0,0,0,Security staff,2,0
5000157,F,Y,Y,1,303900.0,Working,Secondary / secondary special,Married,House / apartment,-19963,-1370,1,0,0,0,Waiters/barmen staff,3,0
5000158,F,N,Y,0,182800.0,Working,Higher education,Married,House / apartment,-11715,-546,1,1,0,0,Sales staff,1,1
5000159,F,Y,N,0,353200.0,Working,Secondary / secondary special,Married,House / apartment,-13855,-2625,1,0,0,0,Security staff,2,1
5000160,M,Y,Y,0,71900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18215,-3579,1,0,0,0,Cleaning staff,2,0
5000161,F,Y,N,1,132700.0,Working,Secondary / secondary special,Married,With parents,-19911,-2590,1,1,0,0,Cleaning staff,2,1
5000162,M,N,Y,0,133100.0,Pensioner,Higher education,Married,House / apartment,-19774,365243,1,0,0,0,Security staff,2,0
5000163,M,Y,Y,2,231200.0,State servant,Secondary / secondary special,Married,House / apartment,-20041,-4650,1,0,1,0,Sales staff,4,1
5000164,F,N,Y,0,359100.0,Working,Secondary / secondary special,Separated,House / apartment,-24140,0,1,0,0,0,Private service staff,2,1
5000165,M,Y,Y,0,234400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14669,-3086,1,1,1,0,Cleaning staff,2,0
5000166,F,Y,Y,0,312700.0,Working,Secondary / secondary special,Married,House / apartment,-10381,-745,1,1,0,0,Laborers,1,1
5000167,F,N,Y,0,191100.0,Working,Secondary / secondary special,Single / not married,Office apartment,-24202,-834,1,0,0,1,Cleaning staff,2,1
5000168,M,Y,N,0,159000.0,Pensioner,Secondary / secondary special,Married,With parents,-11765,365243,1,1,0,0,Managers,1,1
5000169,F,N,N,1,253100.0,Pensioner,Secondary / secondary special,Married,Co-op apartment,-10892,365243,1,0,1,0,Drivers,2,0
5000170,M,N,Y,0,261300.0,Working,Secondary / secondary special,Married,House / apartment,-21512,-4850,1,0,0,0,Private service staff,1,1
5000171,F,N,N,0,171200.0,Pensioner,Higher education,Married,House / apartment,-17880,365243,1,0,1,0,Low-skill Laborers,2,1
5000172,M,Y,N,0,247500.0,Working,Higher education,Married,House / apartment,-11871,-1990,1,1,0,0,Security staff,2,1
5000173,F,N,Y,0,342900.0,Working,Secondary / secondary special,Married,House / apartment,-10755,-2218,1,0,0,0,Cleaning staff,1,1
5000174,M,Y,Y,0,259700.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9932,-3715,1,0,1,0,Core staff,2,0
5000175,M,N,Y,1,112200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14536,-2227,1,1,0,0,Cleaning staff,3,1
5000176,F,Y,N,2,247100.0,Working,Secondary / secondary special,Widow,House / apartment,-24996,-2561,1,0,0,0,Waiters/barmen staff,4,1
5000177,F,Y,Y,2,79700.0,Working,Secondary / secondary special,Married,House / apartment,-11036,-2531,1,0,1,0,Medicine staff,3,0
5000178,F,N,Y,0,161900.0,Working,Secondary / secondary special,Married,House / apartment,-23176,-1963,1,0,0,0,Private service staff,1,1
5000179,F,Y,Y,0,266300.0,Working,Lower secondary,Married,House / apartment,-14806,-1352,1,1,0,0,Sales staff,1,0
5000180,F,N,Y,1,180800.0,Commercial associate,Lower secondary,Married,House / apartment,-19486,-3445,1,0,0,0,Low-skill Laborers,3,1
5000181,F,N,Y,2,217600.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-18282,-976,1,0,0,0,Medicine staff,4,0
5000182,F,N,Y,0,219800.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-11207,-4244,1,0,0,0,Core staff,1,1
5000183,M,N,N,0,164100.0,Pensioner,Higher education,Single / not married,House / apartment,-24332,365243,1,0,0,1,Cleaning staff,1,0
5000184,F,N,Y,3,140700.0,Working,Higher education,Separated,With parents,-23720,-3982,1,0,1,0,Medicine staff,4,1
5000185,F,N,Y,0,335700.0,Commercial associate,Higher education,Civil marriage,House / apartment,-9531,-402,1,0,0,0,Drivers,2,1
5000186,M,Y,Y,4,253800.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-22002,-4315,1,0,0,0,Drivers,5,0
5000187,M,N,Y,1,196800.0,Working,Secondary / secondary special,Married,House / apartment,-18430,-3731,1,0,0,0,Managers,3,1
5000188,F,Y,N,0,122000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20378,365243,1,0,0,0,Low-skill Laborers,2,0
5000189,M,Y,N,0,362200.0,Working,Incomplete higher,Married,House / apartment,-12551,-1281,1,1,1,1,Accountants,1,1
5000190,F,Y,N,2,226700.0,Pensioner,Higher education,Married,House / apartment,-19769,365243,1,0,1,1,Sales staff,4,1
5000191,M,Y,Y,0,96000.0,Working,Secondary / secondary special,Separated,House / apartment,-12685,-1788,1,0,1,0,Laborers,2,0
5000192,M,Y,N,0,219200.0,Working,Secondary / secondary special,Married,House / apartment,-10856,-5019,1,1,0,0,Managers,2,0
5000193,F,Y,N,0,239000.0,Working,Secondary / secondary special,Separated,House / apartment,-18282,-4146,1,1,0,0,IT staff,2,1
5000194,M,N,Y,0,288700.0,Working,Lower secondary,Married,House / apartment,-10597,-829,1,0,0,0,Cleaning staff,2,1
5000195,M,N,N,1,209900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16806,-3122,1,0,0,0,Core staff,3,1
5000196,F,N,N,0,416400.0,Commercial associate,Higher education,Married,House / apartment,-25048,-2026,1,1,1,1,Cooking staff,1,1
5000197,F,Y,N,1,225100.0,Working,Secondary / secondary special,Married,House / apartment,-18387,0,1,0,0,0,Waiters/barmen staff,3,0
5000198,M,Y,Y,1,437600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8169,-1391,1,0,0,0,Accountants,3,0
5000199,M,N,Y,0,267600.0,Working,Higher education,Separated,With parents,-19193,-3912,1,0,0,0,Security staff,2,0
5000200,F,Y,N,1,162000.0,Pensioner,Incomplete higher,Married,Rented apartment,-10675,365243,1,0,0,0,Security staff,3,1
5000201,F,Y,Y,0,348300.0,Pensioner,Higher education,Married,House / apartment,-8910,365243,1,0,0,0,HR staff,2,1
5000202,F,N,N,2,238100.0,Working,Incomplete higher,Married,House / apartment,-18748,-4219,1,0,1,0,Cleaning staff,4,1
